Symbol,Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,RSI,ATR,BB_Middle,BB_Upper,BB_Lower,BB_Width
ABT,2025-09-09,131.0505,131.9122,130.4066,130.7038,4641400,130.3813,129.2965,,52.4153,2.0674,130.3813,132.3973,128.3654,0.0309
ABT,2025-09-10,130.6047,130.6047,126.2463,128.1382,7397200,130.2991,129.1768,,42.5522,2.2381,130.2991,132.5395,128.0587,0.0344
ABT,2025-09-11,128.4651,131.4269,128.1779,131.3972,5578300,130.4601,129.1174,,54.3128,2.3131,130.4601,132.5135,128.4066,0.0315
ABT,2025-09-12,130.575,133.6853,130.159,132.4669,5700300,130.6805,129.1217,,57.3961,2.3998,130.6805,132.59,128.771,0.0292
ABT,2025-09-15,132.6155,133.0811,129.7231,130.0896,4057700,130.6597,129.072,,49.4152,2.4682,130.6597,132.5862,128.7331,0.0295
ABT,2025-09-16,130.5155,132.3976,129.9608,131.5061,5401600,130.783,129.0652,,53.5588,2.466,130.783,132.5846,128.9814,0.0276
ABT,2025-09-17,131.4566,132.9523,131.4566,132.9028,5113300,130.9276,129.0931,,57.2752,2.3967,130.9276,132.9221,128.9331,0.0305
ABT,2025-09-18,132.8235,133.507,130.8524,133.299,5891700,131.0331,129.1316,,58.2948,2.4151,131.0331,133.2916,128.7746,0.0345
ABT,2025-09-19,133.4278,135.4386,132.457,134.7551,11547400,131.2332,129.1918,,61.8938,2.4556,131.2332,134.0318,128.4346,0.0427
ABT,2025-09-22,134.0518,136.1914,133.6754,135.3297,4837000,131.4328,129.2946,,63.2416,2.4599,131.4328,134.7787,128.0869,0.0509
ABT,2025-09-23,134.9929,135.5872,133.7646,134.6066,5136400,131.6319,129.3828,,60.3483,2.4144,131.6319,135.239,128.0248,0.0548
ABT,2025-09-24,134.032,135.5377,132.5264,132.6254,3932400,131.7458,129.4303,,53.1711,2.457,131.7458,135.3259,128.1658,0.0543
ABT,2025-09-25,133.1603,133.1603,129.941,132.0509,4963400,131.8375,129.4614,,51.2669,2.5115,131.8375,135.346,128.3289,0.0532
ABT,2025-09-26,132.7146,132.9325,131.8429,132.2887,4182100,131.9454,129.7197,,52.0324,2.4099,131.9454,135.3644,128.5265,0.0518
ABT,2025-09-29,131.7439,132.2391,130.466,131.8528,4351900,131.9677,129.9068,,50.4672,2.3679,131.9677,135.3777,128.5577,0.0517
ABT,2025-09-30,131.6052,133.2297,130.9316,132.675,7538300,132.0905,130.0954,,53.3198,2.363,132.0905,135.411,128.7701,0.0503
ABT,2025-10-01,133.5269,134.1707,127.8609,132.2094,10613900,132.1544,130.2487,,51.5108,2.6449,132.1544,135.4299,128.879,0.0496
ABT,2025-10-02,131.1693,132.1302,129.2774,131.7339,5916700,132.1633,130.3906,,49.6578,2.6654,132.1633,135.4329,128.8938,0.0495
ABT,2025-10-03,131.9915,134.0915,131.5358,133.3188,5362200,132.2451,130.5679,,55.4151,2.6575,132.2451,135.5458,128.9444,0.0499
ABT,2025-10-06,133.0514,133.9627,132.1896,132.4769,6745900,132.3213,130.7105,,52.012,2.5944,132.3213,135.5662,129.0765,0.049
ABT,2025-10-07,132.8235,132.8235,130.6839,131.7637,4816100,132.3743,130.8426,,49.2528,2.5619,132.3743,135.5416,129.207,0.0479
ABT,2025-10-08,131.5556,133.4476,130.9217,133.0019,6654800,132.6175,130.9667,,53.8319,2.5593,132.6175,135.0849,130.1502,0.0372
ABT,2025-10-09,133.3089,133.8537,131.7438,132.0509,3237600,132.6502,131.061,,50.0934,2.5272,132.6502,135.0663,130.2341,0.0364
ABT,2025-10-10,132.9226,133.2297,130.7929,131.3179,5654100,132.5928,131.1874,,47.363,2.5208,132.5928,135.0808,130.1047,0.0375
ABT,2025-10-13,130.7533,131.5061,129.634,130.1391,4008100,132.5952,131.2684,,43.2777,2.4744,132.5952,135.0728,130.1176,0.0374
ABT,2025-10-14,130.2184,132.0806,129.9906,132.0113,8147900,132.6205,131.3346,,50.5701,2.447,132.6205,135.0614,130.1796,0.0368
ABT,2025-10-15,127.3648,130.8173,125.1063,128.7976,14906400,132.4152,131.3214,,40.8592,2.7654,132.4152,135.3885,129.4419,0.0449
ABT,2025-10-16,128.8772,130.499,126.2306,126.9867,9768100,132.0996,131.2673,,36.5949,2.8728,132.0996,135.9023,128.2969,0.0576
ABT,2025-10-17,127.2156,128.6085,126.5689,127.8922,6806800,131.7565,131.2088,,39.9685,2.8133,131.7565,135.7823,127.7307,0.0611
ABT,2025-10-20,127.7927,129.1657,127.4842,128.8573,5810000,131.4328,131.1258,,43.424,2.7324,131.4328,135.2861,127.5796,0.0586
ABT,2025-10-21,128.3498,128.6483,126.8674,126.8972,4934700,131.0474,131.0613,,38.5684,2.6794,131.0474,135.1011,126.9937,0.0619
ABT,2025-10-22,126.9768,128.2901,126.4694,127.3051,6186800,130.7814,131.0118,,40.0703,2.618,130.7814,135.0893,126.4734,0.0659
ABT,2025-10-23,127.5937,128.121,125.4346,125.7032,6700600,130.464,130.9623,,36.3156,2.6229,130.464,135.2831,125.6449,0.0739
ABT,2025-10-24,126.3301,127.4643,124.37,126.2107,5071100,130.1601,130.9253,,38.2883,2.6566,130.1601,135.2535,125.0667,0.0783
ABT,2025-10-27,125.4247,127.0166,124.5192,126.539,6254200,129.8944,130.846,,39.5922,2.6452,129.8944,135.1672,124.6216,0.0812
ABT,2025-10-28,126.3301,127.8026,125.554,125.9719,4763000,129.5592,130.7846,,38.0949,2.6169,129.5592,134.9389,124.1795,0.083
ABT,2025-10-29,125.5441,125.9122,123.4944,123.8029,5182000,129.1389,130.6605,,32.961,2.6069,129.1389,134.9436,123.3342,0.0899
ABT,2025-10-30,124.5093,125.7928,123.7034,124.0417,4877400,128.7543,130.5175,,34.0153,2.57,128.7543,134.8472,122.6614,0.0946
ABT,2025-10-31,123.2158,123.7034,121.992,122.997,7044900,128.2382,130.3624,,31.6688,2.5328,128.2382,134.4507,122.0258,0.0969
ABT,2025-11-03,123.0865,123.4347,121.8229,123.2158,5833000,127.7752,130.2,,32.7161,2.467,127.7752,134.0377,121.5126,0.098
ABT,2025-11-04,123.6735,125.2157,123.2158,125.166,5607700,127.4453,130.0908,,41.3421,2.4337,127.4453,133.5153,121.3752,0.0953
ABT,2025-11-05,125.2555,126.0714,123.2954,123.9123,4597100,126.9908,129.9621,,37.9719,2.4581,126.9908,132.6568,121.3248,0.0892
ABT,2025-11-06,123.2258,124.37,122.7283,124.3203,4714700,126.6043,129.8441,,39.6946,2.3998,126.6043,131.8564,121.3521,0.083
ABT,2025-11-07,125.0068,125.9818,124.0218,125.7231,5458500,126.3245,129.756,,45.3192,2.3684,126.3245,131.0933,121.5557,0.0755
ABT,2025-11-10,124.7879,125.5142,123.9223,125.2555,4251600,126.0803,129.633,,43.851,2.3278,126.0803,130.5152,121.6455,0.0703
ABT,2025-11-11,125.9619,126.5092,125.1361,126.3599,5293900,125.7978,129.5558,,48.1253,2.2596,125.7978,129.2536,122.342,0.0549
ABT,2025-11-12,126.3002,128.4294,125.9122,128.1708,4979700,125.7664,129.5006,,54.2719,2.278,125.7664,129.1174,122.4154,0.0533
ABT,2025-11-13,127.8623,128.9369,127.3549,128.6085,5182400,125.8475,129.4416,,55.6402,2.2283,125.8475,129.3956,122.2995,0.0564
ABT,2025-11-14,128.6384,130.3,128.121,129.9318,6998900,125.9495,129.4066,,59.578,2.2248,125.9495,129.8452,122.0538,0.0619
ABT,2025-11-17,130.0214,131.2651,129.2951,129.3746,5816600,125.9754,129.3751,,57.2727,2.2066,125.9754,129.9583,121.9924,0.0632
ABT,2025-11-18,130.0811,131.3646,128.6384,129.3448,6775000,126.0977,129.3479,,57.1452,2.2437,126.0977,130.3418,121.8537,0.0673
ABT,2025-11-19,129.2354,130.8273,123.9521,125.5142,10296100,126.0082,129.2954,,43.6945,2.5745,126.0082,130.2204,121.796,0.0669
ABT,2025-11-20,121.8826,125.0864,121.4846,123.3452,11654000,125.8903,129.1344,,38.2102,2.6785,125.8903,130.2673,121.5133,0.0695
ABT,2025-11-21,124.0516,128.0713,123.2656,127.4643,9401000,125.953,129.0343,,50.8317,2.8304,125.953,130.3848,121.5211,0.0704
ABT,2025-11-24,126.8176,128.8672,126.0813,126.549,14041300,125.9535,128.9635,,48.4626,2.8272,125.9535,130.3856,121.5214,0.0704
ABT,2025-11-25,126.6485,128.1608,125.5938,127.4046,8035500,126.0251,128.8815,,50.7723,2.8086,126.0251,130.5045,121.5457,0.0711
ABT,2025-11-26,127.4345,128.3697,126.3798,127.8922,5473800,126.2296,128.7812,,52.0897,2.7502,126.2296,130.6549,121.8043,0.0701
ABT,2025-11-28,127.5141,128.7379,127.3549,128.2503,2572400,126.44,128.6803,,53.0831,2.6525,126.44,130.8274,122.0527,0.0694
ABT,2025-12-01,128.0016,129.1956,127.3151,127.3648,5766900,126.6584,128.5325,,50.3059,2.5974,126.6584,130.7489,122.5679,0.0646
ABT,2025-12-02,127.8026,128.3399,125.0068,125.6833,5479700,126.7818,128.3395,,45.444,2.6499,126.7818,130.573,122.9905,0.0598
ABT,2025-12-03,125.6435,126.927,124.5789,124.6585,4918800,126.7564,128.1406,,42.7333,2.6284,126.7564,130.5996,122.9132,0.0606
ABT,2025-12-04,124.559,124.9371,123.4347,124.768,5226900,126.7992,127.9834,,43.1235,2.5479,126.7992,130.5264,123.072,0.0588
ABT,2025-12-05,125.0267,125.4147,124.0118,124.4496,4361100,126.8057,127.8314,,42.2222,2.4661,126.8057,130.5151,123.0962,0.0585
ABT,2025-12-08,123.9919,123.9919,121.0966,121.4747,6391900,126.5932,127.6151,,34.8855,2.5295,126.5932,130.9872,122.1993,0.0694
ABT,2025-12-09,122.2109,122.6089,120.4499,120.6389,5229100,126.3624,127.3908,,33.1431,2.503,126.3624,131.478,121.2468,0.081
ABT,2025-12-10,120.6489,122.4696,120.0917,121.9324,6716200,126.141,127.176,,38.2808,2.4941,126.141,131.6269,120.6551,0.087
ABT,2025-12-11,122.4099,123.6138,122.0119,122.6587,5390000,125.8654,126.985,,41.0216,2.4361,125.8654,131.4744,120.2564,0.0891
ABT,2025-12-12,122.8477,124.9471,122.2905,124.8277,4765300,125.6764,126.8469,,48.3921,2.4518,125.6764,131.1493,120.2035,0.0871
ABT,2025-12-15,125.0864,128.9866,124.569,127.8225,7716000,125.5709,126.7369,,56.4793,2.5922,125.5709,130.7732,120.3687,0.0829
ABT,2025-12-16,127.7628,127.9519,125.6635,126.2206,5764200,125.4132,126.6118,,51.8032,2.5705,125.4132,130.3124,120.5141,0.0781
ABT,2025-12-17,126.1112,127.0265,125.3053,126.0714,8048900,125.2495,126.498,,51.3764,2.5099,125.2495,129.8021,120.697,0.0727
ABT,2025-12-18,125.942,126.937,124.3004,124.4894,5891700,125.1983,126.3277,,46.9601,2.5189,125.1983,129.7614,120.6352,0.0729
ABT,2025-12-19,124.4098,125.4943,123.1363,124.8177,14795700,125.2719,126.183,,47.9599,2.5074,125.2719,129.7559,120.7879,0.0716
ABT,2025-12-22,124.5292,126.5987,124.1412,124.569,5058000,125.1272,126.0481,,47.2335,2.5039,125.1272,129.4987,120.7556,0.0699
ABT,2025-12-23,124.37,124.5491,123.2258,123.9123,7534900,124.9953,125.9235,,45.2834,2.421,124.9953,129.3453,120.6454,0.0696
ABT,2025-12-24,123.385,124.6983,123.375,124.181,1632200,124.8341,125.7669,,46.2608,2.3426,124.8341,129.0449,120.6234,0.0675
ABT,2025-12-26,123.9521,124.559,123.6337,124.2108,2120700,124.6501,125.6752,,46.3755,2.2413,124.6501,128.6125,120.6877,0.0636
ABT,2025-12-29,124.3998,124.8575,123.8626,123.9422,4468700,124.4347,125.6143,,45.4361,2.1523,124.4347,128.0238,120.8455,0.0577
ABT,2025-12-30,123.8029,125.564,123.7332,125.1461,5271100,124.3237,125.5594,,50.295,2.1293,124.3237,127.6598,120.9877,0.0537
ABT,2025-12-31,125.2456,125.6037,124.6088,124.6585,3157100,124.2725,125.4754,,48.4148,2.0483,124.2725,127.5516,120.9934,0.0528
ABT,2026-01-02,124.0715,124.6187,123.0169,123.5641,5014200,124.2178,125.4087,,44.4019,2.0193,124.2178,127.5063,120.9293,0.0529
ABT,2026-01-05,123.0069,125.9221,121.8826,125.8127,6548500,124.27,125.3789,,53.0181,2.1636,124.27,127.6278,120.9122,0.054
ABT,2026-01-06,126.2007,128.8075,125.9122,127.136,8327500,124.4043,125.4075,,57.2198,2.2229,124.4043,127.9989,120.8097,0.0578
ABT,2026-01-07,127.8026,127.9519,125.6336,126.3997,6632300,124.6506,125.4113,,54.3095,2.2297,124.6506,128.0707,121.2305,0.0549
ABT,2026-01-08,126.4594,127.4544,125.4247,125.5441,4344600,124.8958,125.3914,,51.0593,2.2155,124.8958,127.7635,122.0281,0.0459
ABT,2026-01-09,125.7828,126.4992,124.5988,125.2854,4317600,125.0635,125.3777,,50.0834,2.193,125.0635,127.5712,122.5558,0.0401
ABT,2026-01-12,125.7629,125.9719,122.8278,124.0118,5524300,125.1311,125.3819,,45.4754,2.2609,125.1311,127.4299,122.8323,0.0367
ABT,2026-01-13,123.9223,124.0417,121.5841,123.6735,5169800,125.0734,125.3745,,44.3092,2.2749,125.0734,127.4606,122.6863,0.0382
ABT,2026-01-14,123.0567,124.4595,122.3701,124.37,7187800,124.9008,125.402,,47.3053,2.2617,124.9008,126.9222,122.8794,0.0324
ABT,2026-01-15,124.4,124.42,123.0,123.53,7079500,124.7663,125.4083,,44.2156,2.2016,124.7663,126.7759,122.7566,0.0322
ABT,2026-01-16,123.23,123.49,121.54,121.76,10418200,124.5507,125.3401,,38.5082,2.1865,124.5507,126.8717,122.2297,0.0373
ABT,2026-01-20,121.37,121.5,120.25,121.14,12634000,124.3832,125.2847,,36.7202,2.1381,124.3832,127.1612,121.6052,0.0447
ABT,2026-01-21,121.71,122.49,120.33,120.73,12557300,124.1789,125.2129,,35.5448,2.1397,124.1789,127.39,120.9677,0.0517
ABT,2026-01-22,107.53,114.0,105.78,108.61,37099400,123.3809,124.8706,,17.6053,3.0547,123.3809,131.0378,115.724,0.1241
ABT,2026-01-23,108.27,110.05,106.08,107.42,21813100,122.5563,124.5139,,16.7133,3.1201,122.5563,133.0127,112.0999,0.1706
ABT,2026-01-26,107.75,110.39,107.59,108.77,19094200,121.7857,124.1621,,21.5679,3.1094,121.7857,133.881,109.6905,0.1986
ABT,2026-01-27,108.01,109.35,106.96,108.27,16594500,120.9887,123.7641,128.2323,21.0779,3.058,120.9887,134.4363,107.5411,0.2223
ABT,2026-01-28,107.8,108.63,105.27,106.05,15120500,120.0941,123.3129,128.1515,19.0124,3.0796,120.0941,135.0144,105.1738,0.2485
ABT,2026-01-29,106.44,107.16,105.34,106.09,15687900,119.1413,122.8361,128.0593,19.1661,2.9896,119.1413,135.1008,103.1818,0.2679
ABT,2026-01-30,106.06,109.48,105.68,109.3,17531400,118.3734,122.4346,127.9777,30.5561,3.0475,118.3734,134.6892,102.0576,0.2757
ABT,2026-02-02,109.23,111.0,108.87,109.41,11447200,117.6657,122.0359,127.9025,30.9153,2.9819,117.6657,134.259,101.0723,0.282
ABT,2026-02-03,107.0,109.12,106.25,109.02,14645400,116.826,121.706,127.808,30.3165,2.9947,116.826,133.383,100.2691,0.2834
ABT,2026-02-04,109.2,109.73,107.64,108.2,13163500,115.8792,121.4031,127.7032,29.0428,2.93,115.8792,132.1164,99.6421,0.2802
ABT,2026-02-05,109.16,110.14,107.91,109.08,13555100,115.0132,121.0354,127.6082,32.3287,2.88,115.0132,130.7269,99.2996,0.2732
ABT,2026-02-06,110.1,111.06,108.95,110.83,9919600,114.2775,120.721,127.5128,38.4345,2.825,114.2775,129.2768,99.2783,0.2625
ABT,2026-02-09,110.23,111.27,109.5,111.07,11719900,113.5668,120.3944,127.428,39.2442,2.7497,113.5668,127.6914,99.4421,0.2487
ABT,2026-02-10,111.18,112.75,111.0,112.28,10513000,112.9802,120.0821,127.3515,43.2931,2.6783,112.9802,126.2254,99.7349,0.2345
ABT,2026-02-11,111.74,113.73,111.38,113.59,9306500,112.476,119.7889,127.2841,47.3816,2.6548,112.476,124.7386,100.2134,0.218
ABT,2026-02-12,113.25,113.76,111.43,111.47,11541000,111.831,119.471,127.2028,42.0925,2.6316,111.831,122.742,100.92,0.1951
ABT,2026-02-13,111.77,113.11,111.4,112.68,7696700,111.2885,119.2109,127.1227,45.8106,2.5658,111.2885,120.7304,101.8466,0.1697
ABT,2026-02-17,113.19,113.59,111.93,112.26,6568900,110.8135,118.963,127.0393,44.7369,2.5011,110.8135,118.8952,102.7318,0.1459
ABT,2026-02-18,111.92,113.38,111.63,113.29,7824400,110.421,118.7334,126.9605,47.9583,2.4474,110.421,117.0169,103.8251,0.1195
ABT,2026-02-19,113.01,113.4,111.98,112.19,6988400,109.994,118.4882,126.8665,44.945,2.3741,109.994,114.5791,105.4089,0.0834
ABT,2026-02-20,112.19,112.64,111.18,112.21,7099000,110.174,118.3029,126.7738,45.0127,2.3088,110.174,114.8127,105.5353,0.0842
ABT,2026-02-23,112.29,115.31,112.05,115.29,9144500,110.5675,118.1959,126.6942,54.3213,2.3767,110.5675,115.5453,105.5897,0.09
ABT,2026-02-24,115.06,115.37,113.82,114.58,9017200,110.858,118.0489,126.6066,52.1305,2.3177,110.858,116.0669,105.6491,0.094
ABT,2026-02-25,114.91,116.02,114.35,114.76,6529600,111.1825,117.8909,126.5197,52.6519,2.2714,111.1825,116.5196,105.8454,0.096
ABT,2026-02-26,115.32,116.57,114.51,116.26,7855600,111.693,117.7196,126.444,56.8677,2.2563,111.693,116.915,106.471,0.0935
ABT,2026-02-27,115.71,116.82,115.49,116.35,13233300,112.206,117.4901,126.375,57.1144,2.1901,112.206,117.117,107.295,0.0875
ABT,2026-03-02,115.56,115.85,113.63,114.12,7700200,112.447,117.2481,126.3093,49.5509,2.228,112.447,117.2289,107.6651,0.0851
ABT,2026-03-03,113.0,114.43,112.63,113.61,6708000,112.657,116.9989,126.2435,47.9858,2.1974,112.657,117.2422,108.0718,0.0814
ABT,2026-03-04,113.66,113.95,112.03,113.1,4613500,112.861,116.7711,126.1515,46.4072,2.1776,112.861,117.116,108.606,0.0754
ABT,2026-03-05,111.95,112.0,110.52,111.04,8008900,113.003,116.4955,126.042,40.5978,2.2063,113.003,116.764,109.242,0.0666
ABT,2026-03-06,110.72,110.72,108.34,109.56,11100400,113.027,116.1954,125.9215,37.0129,2.2416,113.027,116.6873,109.3667,0.0648
ABT,2026-03-09,109.42,112.74,108.94,112.65,13560800,113.118,115.9701,125.8181,47.447,2.3529,113.118,116.6361,109.5999,0.0622
ABT,2026-03-10,112.28,112.45,109.8,110.55,8746100,113.092,115.6975,125.7148,42.3165,2.3884,113.092,116.6808,109.5032,0.0635
ABT,2026-03-11,110.0,110.75,108.96,110.25,8002200,112.9905,115.4183,125.6177,41.6241,2.3457,112.9905,116.7849,109.1961,0.0672
ABT,2026-03-12,109.78,111.18,108.07,108.14,10839800,112.718,115.1022,125.511,37.034,2.4003,112.718,117.0726,108.3634,0.0773
ABT,2026-03-13,109.39,110.31,107.7,108.03,8828900,112.546,114.7599,125.3957,36.8061,2.4153,112.546,117.3561,107.7359,0.0855
ABT,2026-03-16,108.81,110.1,108.53,109.95,7442200,112.4095,114.4657,125.2945,43.3574,2.3906,112.4095,117.3566,107.4624,0.088
ABT,2026-03-17,110.1,111.86,109.92,110.71,9452200,112.332,114.2087,125.193,45.7546,2.3584,112.332,117.3371,107.3269,0.0891
